year,model,terrain,engine_capacity,mpg,exterior_color,interior_color,gear_type,type_of_car,number_of_keys,price,miles
2020 DODGE,DURANGO,GT Plus Sport Utility 4D ,"V6, 3.6 Liter",18 City / 25 Hwy,Black,Black,"Automatic, 8-Spd",4 Door SUV,1,"$32,590 "," 29,769 miles"
2016 HONDA,HR-V,EX Sport Utility 4D,"4-Cyl, I-VTEC, 1.8 Liter",28 City / 35 Hwy,Silver,Gray,"Auto, CVT W/Sport Mode",4 Door SUV,2,"$18,990 ","8,207 miles"
2014 VOLKSWAGEN,GOLF,TDI Hatchback Sedan 4D,"4-Cyl, Turbo Diesel, 2.0 Liter",30 City / 42 Hwy,Silver,Black,"Auto, 6-Spd DSG Tptrnc SM",4 Door Sedan,2,"$15,590 ","45,802 miles"
2019 CHRYSLER,PACIFICA,Limited Minivan 4D,"V6, 3.6 Liter",18 City / 28 Hwy,White,Black,"Automatic, 9-Spd",4 Door Minivan,2,"$28,990 ","36,748 miles"
2013 AUDI,A5,2.0T Premium Plus Coupe 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 32 Hwy,Gray,Black,"Manual, 6-Spd",2 Door Coupe,2,"$20,990 ","46,633 miles"
2014 BMW,X3,xDrive28i Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",21 City / 28 Hwy,Blue,Black,"Auto, 8-Spd Stptrnc Spt",4 Door SUV,1,"$21,590 ","41,597 miles"
2018 DODGE,JOURNEY,GT Sport Utility 4D,"V6, 3.6 Liter",16 City / 24 Hwy,White,Black / Red Interior Colors,"Automatic, 6-Spd W/AutoStick",4 Door SUV,2,"$20,590 ","20,872 miles"
2018 TOYOTA,PRIUS PRIME,Plus Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",55 City / 53 Hwy,White,Black,"Automatic, ECVT",4 Door Hatchback,2,"$21,990 ","23,288 miles"
2017 BMW,X1,xDrive28i Sport Utility 4D,"4-Cyl, Twin Turbo, 2.0L",22 City / 31 Hwy,Black,Black,"Auto, 8-Spd Sport",4 Door SUV,1,"$25,990 ","35,889 miles"
2012 VOLKSWAGEN,JETTA SPORTWAGEN,2.0L TDI Sport Wagon 4D,"4-Cyl, Turbo Diesel, 2.0 Liter",29 City / 37 Hwy,Blue,Beige,Auto 6-Spd DSG Tptrnc Spt,4 Door Wagon,2,"$12,990 ","72,317 miles"
2017 HYUNDAI,TUCSON,Eco Sport Utility 4D,"4-Cyl, Turbo, 1.6 Liter",25 City / 30 Hwy,Black,Gray,"Auto, 7-Spd EcoShift",4 Door SUV,2,"$16,990 ","57,777 miles"
2018 DODGE,JOURNEY,GT Sport Utility 4D,"V6, 3.6 Liter",16 City / 24 Hwy,Silver,Black / Red Interior Colors,"Automatic, 6-Spd W/AutoStick",4 Door SUV,2,"$19,990 ","21,646 miles"
2018 MAZDA,CX-5,Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.5L",23 City / 29 Hwy,Gray,Black,"Auto, 6-Spd Manual Spt",4 Door SUV,2,"$23,990 ","15,893 miles"
2016 TOYOTA,COROLLA,S Plus Sedan 4D,"4-Cyl, 1.8 Liter",29 City / 38 Hwy,Red,Black,"Automatic, CVTi-S",4 Door Sedan,2,"$14,590 ","51,822 miles"
2018 DODGE,JOURNEY,GT Sport Utility 4D,"V6, 3.6 Liter",16 City / 24 Hwy,Red,Black / Red Interior Colors,"Automatic, 6-Spd W/AutoStick",4 Door SUV,2,"$20,990 ","15,550 miles"
2018 KIA,NIRO,LX Wagon 4D,"4-Cyl, Hybrid, 1.6 Liter",51 City / 46 Hwy,White,Charcoal,"Automatic, 6-Spd W/Dual-Clutch & Sportmatic",4 Door Wagon,2,"$16,990 ","35,871 miles"
2018 SUBARU,OUTBACK,2.5i Wagon 4D,"4-Cyl, PZEV, 2.5 Liter",25 City / 32 Hwy,Gray,Gray,"Auto, CVT Manual",4 Door Wagon,2,"$23,990 ","26,746 miles"
2018 SUBARU,OUTBACK,2.5i Limited Wagon 4D ,"4-Cyl, PZEV, 2.5 Liter",25 City / 32 Hwy,Silver,Slate Black,"Auto, CVT Manual",4 Door Wagon,1,"$23,990 "," 35,421 miles"
2018 VOLKSWAGEN,TIGUAN,2.0T S 4MOTION Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",21 City / 27 Hwy,Gray,Gray,"Auto, 8-Spd Tiptronic Spt",4 Door SUV,2,"$20,590 ","16,903 miles"
2018 FORD,FIESTA,SE Hatchback 4D,"4-Cyl, 1.6 Liter",27 City / 37 Hwy,Green,Charcoal Black Cloth Seats,"Auto, 6-Spd SelectShift",4 Door Hatchback,2,"$12,990 ","20,955 miles"
2016 FORD,EDGE,Titanium Sport Utility 4D,4-Cyl EcoBoost 2.0L,20 City / 28 Hwy,White,Ebony Leather-Trimmed Seats,"Auto, 6-Spd SelShft",4 Door SUV,1,"$20,590 ","81,614 miles"
2018 ACURA,RDX,Technology Pkg Sport Utility 4D,"V6, I-VTEC, 3.5 Liter",19 City / 27 Hwy,Black,Black,"Auto, 6-Spd Seq SptShft",4 Door SUV,1,"$27,990 ","37,543 miles"
2020 CHRYSLER,PACIFICA,Touring L Minivan 4D,"V6, 3.6 Liter",19 City / 28 Hwy,Black,Black,"Automatic, 9-Spd",4 Door Minivan,2,"$25,990 ","39,361 miles"
2015 NISSAN,VERSA,Note SL Hatchback 4D,"4-Cyl, 1.6 Liter",31 City / 40 Hwy,Blue,Black,"Automatic, CVT W/Xtronic",4 Door Hatchback,1,"$12,590 ","38,110 miles"
2017 KIA,FORTE,S Sedan 4D,"4-Cyl, 2.0 Liter",29 City / 38 Hwy,Gray,Black,"Automatic, 6-Spd",4 Door Sedan,2,"$13,990 ","45,915 miles"
2014 MERCEDES-BENZ,E-CLASS,E 350 Cabriolet 2D,"V6, 3.5 Liter",19 City / 28 Hwy,White,Black Leather,"Auto, 7-Spd Sport Mode",2 Door Convertible,2,"$28,590 ","39,526 miles"
2019 FORD,ECOSPORT,SE Sport Utility 4D,"3-Cyl, EcoBoost, Turbo, 1.0 Liter",27 City / 29 Hwy,Blue,Ebony Blk Unique Cloth Seat,"Automatic, 6-Spd W/SelectShift",4 Door SUV,1,"$17,990 ","12,100 miles"
2017 CHEVROLET,IMPALA,LT Sedan 4D,"V6, 3.6 Liter",18 City / 28 Hwy,Gray,Jet Black,"Auto, 6-Spd Overdrive",4 Door Sedan,2,"$19,990 ","25,969 miles"
2019 CHRYSLER,PACIFICA,Touring L Minivan 4D,"V6, 3.6 Liter",18 City / 28 Hwy,Silver,Black,"Automatic, 9-Spd",4 Door Minivan,1,"$20,990 ","47,412 miles"
2014 MERCEDES-BENZ,E-CLASS,E 350 Sedan 4D,"V6, 3.5 Liter",21 City / 30 Hwy,Silver,Gray,"Auto, 7-Spd Sport Mode",4 Door Sedan,2,"$20,990 ","62,652 miles"
2018 VOLKSWAGEN,TIGUAN,2.0T S Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,Black,Black,"Auto, 8-Spd Tiptronic Spt",4 Door SUV,2,"$18,990 ","27,811 miles"
2015 ACURA,TLX,3.5 Sedan 4D,"V6, VTEC, 3.5 Liter",21 City / 31 Hwy,Blue,Gray,"Auto, 9-Spd SportShift",4 Door Sedan,3,"$21,590 ","34,633 miles"
2016 KIA,FORTE5,EX Hatchback 4D,"4-Cyl, GDI, 2.0 Liter",25 City / 33 Hwy,Gray,Black,"Auto, 6-Spd W/Sportmatic & Active ECO System",4 Door Hatchback,1,"$12,990 ","64,185 miles"
2017 CHEVROLET,IMPALA,LS Sedan 4D,"4-Cyl, ECOTEC, 2.5 Liter",22 City / 30 Hwy,White,Jet Black/Dark Titanium,"Automatic, 6-Spd",4 Door Sedan,2,"$15,590 ","87,159 miles"
2012 ACURA,TL,Sedan 4D,"V6, VTEC, 3.5 Liter",20 City / 29 Hwy,Silver,Black,"Auto, 6-Spd W/OD & SptSft",4 Door Sedan,2,"$14,990 ","80,997 miles"
2013 GMC,SIERRA 1500 CREW CAB,SLT Pickup 4D 5 3/4 ft,"V8, Flex Fuel, 5.3 Liter",15 City / 21 Hwy,White,Black,"Automatic, 6-Spd HD W/Overdrive",4 Door Truck,2,"$29,590 ","54,681 miles"
2017 JEEP,WRANGLER UNLIMITED,Sport SUV 4D,"V6, 3.6 Liter",16 City / 20 Hwy,White,Black Interior Color,"Automatic, 5-Spd",4 Door SUV,2,"$32,990 ","10,935 miles"
2017 CHEVROLET,IMPALA,Premier Sedan 4D,"V6, Flex Fuel, 3.6 Liter",18 City / 28 Hwy,Blue,Black,"Auto, 6-Spd Overdrive",4 Door Sedan,2,"$21,990 ","35,651 miles"
2012 GMC,ACADIA,Denali Sport Utility 4D,"V6, 3.6 Liter",16 City / 23 Hwy,White,Black,"Automatic, 6-Spd W/Overdrive",4 Door SUV,1,"$16,990 ","102,743 miles"
2014 CADILLAC,ATS,2.5L Luxury Sedan 4D,"4-Cyl, 2.5 Liter",22 City / 33 Hwy,White,Beige,"Automatic, 6-Spd",4 Door Sedan,1,"$16,990 ","55,898 miles"
2014 BUICK,ENCLAVE,Leather Sport Utility 4D,"V6, 3.6 Liter",17 City / 24 Hwy,Red,Lt. Gray,"Auto, 6-Spd Overdrive",4 Door SUV,2,"$18,590 ","73,206 miles"
2018 CHRYSLER,PACIFICA,Touring L Plus Minivan 4D,"V6, 3.6 Liter",18 City / 28 Hwy,White,Black / Alloy Interior Colors,"Automatic, 9-Spd",4 Door Minivan,2,"$25,990 ","35,670 miles"
2013 HONDA,FIT,Hatchback 4D,"4-Cyl, I-VTEC, 1.5 Liter",28 City / 35 Hwy,Red,Gray,"Automatic, 5-Spd",4 Door Hatchback,2,"$10,990 ","75,615 miles"
2012 SCION,TC,Hatchback Coupe 2D,"4-Cyl, 2.5 Liter",23 City / 31 Hwy,Black,Black,"Auto, 6-Spd W/OD",2 Door Hatchback,1,"$11,590 ","89,336 miles"
2015 FORD,FOCUS ST,Hatchback 4D,"4-Cyl, EcoBoost, 2.0T",23 City / 32 Hwy,Gray,Charcoal Black Cloth Seats,"Manual, 6-Spd",4 Door Hatchback,2,"$17,990 ","46,360 miles"
2011 ACURA,TSX,Wagon 4D,"4-Cyl, VTEC, 2.4 Liter",22 City / 30 Hwy,Black,Black,"Automatic, 5-Spd W/Overdrive & SportShift",4 Door Wagon,3,"$14,990 ","80,787 miles"
2019 NISSAN,ROGUE SPORT,S Sport Utility 4D,"4-Cyl, 2.0 Liter",24 City / 30 Hwy,Black,Black,"Automatic, CVT W/Xtronic",4 Door SUV,1,"$16,990 ","41,793 miles"
2015 ACURA,TLX,2.4 Sedan 4D,"4-Cyl, VTEC, 2.4 Liter",24 City / 35 Hwy,Black,Black,"Auto, 8-Spd DCT SptShft",4 Door Sedan,2,"$17,990 ","65,342 miles"
2014 CADILLAC,CTS,2.0 Standard Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",19 City / 28 Hwy,Silver,Brown,"Automatic, 6-Spd",4 Door Sedan,2,"$18,590 ","55,163 miles"
2015 TOYOTA,PRIUS C,Two Hatchback 4D,"4-Cyl, Hybrid, 1.5 Liter",53 City / 46 Hwy,Silver,Dk. Blue,"Automatic, CVT",4 Door Hatchback,2,"$12,990 ","86,727 miles"
2019 MITSUBISHI,OUTLANDER,SE Sport Utility 4D,"4-Cyl, 2.4 Liter",24 City / 29 Hwy,Black,Black,"Automatic, CVT",4 Door SUV,2,"$18,990 ","40,765 miles"
2018 VOLKSWAGEN,TIGUAN,2.0T SE 4MOTION Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",21 City / 27 Hwy,Black,Black,"Auto, 8-Spd Tiptronic Spt",4 Door SUV,2,"$20,990 ","37,655 miles"
2014 CHEVROLET,TRAVERSE,LT Sport Utility 4D,"V6, 3.6 Liter",17 City / 24 Hwy,Gray,Black,"Automatic, 6-Spd",4 Door SUV,2,"$15,990 ","89,370 miles"
2017 HYUNDAI,SANTA FE SPORT,Sport Utility 4D,"4-Cyl, GDI, 2.4 Liter",20 City / 26 Hwy,Blue,Beige,"Auto, 6-Spd Shiftronic",4 Door SUV,1,"$17,590 ","58,622 miles"
2014 MERCEDES-BENZ,E-CLASS,E 350 4MATIC Sedan 4D,"V6, 3.5 Liter",20 City / 28 Hwy,Black,Black,"Auto, 7-Spd Sport Mode",4 Door Sedan,2,"$21,590 ","66,017 miles"
2014 LAND_ROVER,RANGE ROVER SPORT,HSE Sport Utility 4D,"V6, Sprchrgd, FF, 3.0L",17 City / 23 Hwy,Beige,Black,"Auto, 8-Spd W/CmdShft",4 Door SUV,2,"$33,990 ","75,361 miles"
2019 MITSUBISHI,ECLIPSE CROSS,ES Sport Utility 4D,"4-Cyl, Turbo, 1.5 Liter",25 City / 28 Hwy,Gray,Black,"Automatic, CVT W/Sport Mode",4 Door SUV,2,"$15,990 ","45,731 miles"
2019 CHRYSLER,PACIFICA,Touring L Plus Minivan 4D,"V6, 3.6 Liter",18 City / 28 Hwy,Blue,Black,"Automatic, 9-Spd",4 Door Minivan,2,"$30,990 ","10,498 miles"
2009 CHEVROLET,CORVETTE,Coupe 2D,"V8, 6.2 Liter",15 City / 25 Hwy,Yellow,Lt. Gray,"Automatic, 6-Spd W/Paddle Shift",2 Door Coupe,2,"$31,590 ","25,821 miles"
2014 VOLKSWAGEN,JETTA SPORTWAGEN,2.0L TDI Sport Wagon 4D,"4-Cyl, Turbo Diesel, 2.0 Liter",29 City / 37 Hwy,Silver,Black,Auto 6-Spd DSG Tptrnc Spt,4 Door Wagon,2,"$12,990 ","81,827 miles"
